,id,youtube_id,player,sex,club,view,slow,events,bbox,split
0,0,f1BWA5F87Jc,SANDRA GAL,f,driver,down-the-line,0,[408 455 473 476 490 495 498 501 514 545],[0.09765625 0.00694444 0.50234375 0.98055556],3
1,1,f1BWA5F87Jc,SANDRA GAL,f,driver,down-the-line,1,[ 814  854  917  931  988 1006 1019 1030 1083 1137],[3.90625000e-02 6.94444444e-04 6.12500000e-01 9.78472222e-01],3
2,2,tA1iotgtMyc,CHRIS DIMARCO,m,driver,down-the-line,0,[521 659 678 683 692 696 698 701 715 745],[1.65625000e-01 6.94444444e-04 4.83593750e-01 9.86805556e-01],3
3,3,tA1iotgtMyc,CHRIS DIMARCO,m,driver,down-the-line,1,[1106 1190 1244 1264 1300 1313 1324 1335 1389 1449],[1.85156250e-01 6.94444444e-04 4.65625000e-01 9.71527778e-01],3
4,4,wDCKLePrwHA,BROOKE HENDERSON,f,driver,down-the-line,0,[157 170 183 188 197 201 205 207 220 250],[1.10156250e-01 6.94444444e-04 4.98437500e-01 9.86805556e-01],3
5,5,wDCKLePrwHA,BROOKE HENDERSON,f,driver,down-the-line,1,[510 528 579 598 634 650 665 674 723 763],[1.10937500e-01 6.94444444e-04 5.07031250e-01 9.71527778e-01],3
6,6,iPuVhnI8pJU,NICK WATNEY,m,driver,down-the-line,0,[246 298 310 314 324 329 332 334 351 381],[0.1453125  0.00138889 0.46796875 0.99930556],2
7,7,iPuVhnI8pJU,NICK WATNEY,m,driver,down-the-line,1,[ 751  794  843  859  896  918  929  938  996 1029],[1.69531250e-01 6.94444444e-04 4.12500000e-01 1.00000000e+00],2
8,8,-M5SITXMA2Y,CRISTIE KERR,f,driver,face-on,0,[288 317 333 335 347 352 355 357 371 401],[7.81250000e-04 6.94444444e-04 9.18750000e-01 1.00000000e+00],4
9,9,-M5SITXMA2Y,CRISTIE KERR,f,driver,face-on,1,[601 631 690 699 749 765 779 788 847 878],[3.90625000e-04 6.94444444e-04 9.02734375e-01 1.00000000e+00],4
10,10,gOBVh7fzyZo,STEVE STRICKER,m,driver,face-on,0,[395 475 488 492 499 504 507 509 524 563],[1.06250000e-01 6.94444444e-04 8.00781250e-01 1.00000000e+00],1
11,11,gOBVh7fzyZo,STEVE STRICKER,m,driver,face-on,1,[ 744  803  854  867  899  914  927  936  999 1050],[1.06250000e-01 6.94444444e-04 7.71093750e-01 1.00000000e+00],1
12,12,ja5jdy8_TKw,KYLE STANLEY,m,driver,down-the-line,0,[ 61  96 109 113 121 126 129 131 146 180],[0.05390625 0.00277778 0.58671875 0.99791667],2
13,13,ja5jdy8_TKw,KYLE STANLEY,m,driver,other,1,[424 501 555 570 609 624 636 645 702 743],[3.82812500e-02 6.94444444e-04 6.15625000e-01 1.00000000e+00],2
14,14,vN3Uc_EhnnY,GREG NORMAN,m,driver,face-on,0,[457 497 513 515 523 527 531 533 546 569],[5.23437500e-02 6.94444444e-04 8.50781250e-01 1.00000000e+00],2
15,15,vN3Uc_EhnnY,GREG NORMAN,m,driver,face-on,1,[ 809  833  891  899  932  948  963  971 1020 1080],[6.01562500e-02 6.94444444e-04 8.00781250e-01 1.00000000e+00],2
16,16,y1b7l5xiMWM,VIJAY SINGH,m,driver,other,0,[ 91 162 174 179 188 192 196 198 217 251],[0.16640625 0.18055556 0.3484375  0.82013889],2
17,17,y1b7l5xiMWM,VIJAY SINGH,m,driver,other,0,[ 839  914  925  929  938  943  947  949  967 1029],[0.159375   0.11666667 0.36171875 0.82222222],2
18,18,y1b7l5xiMWM,VIJAY SINGH,m,driver,other,1,[1083 1159 1195 1212 1247 1270 1284 1292 1363 1423],[0.14453125 0.11111111 0.36640625 0.86111111],2
19,19,iW323nsTGtU,HYO JOO KIM,f,driver,face-on,0,[271 310 328 333 344 348 352 355 377 437],[7.34375000e-02 6.94444444e-04 8.32812500e-01 1.00000000e+00],3
20,20,iW323nsTGtU,HYO JOO KIM,f,driver,face-on,1,[578 592 655 671 714 735 750 759 833 898],[0.084375   0.00277778 0.82109375 0.99791667],3
21,21,xD6KDqPF9cc,TIGER WOODS,m,iron,face-on,0,[211 248 261 264 272 275 278 280 299 329],[9.06250000e-02 6.94444444e-04 7.04687500e-01 1.00000000e+00],2
22,22,xD6KDqPF9cc,TIGER WOODS,m,iron,face-on,1,[738 755 802 814 846 860 871 880 943 988],[0.07890625 0.00416667 0.753125   0.99652778],2
23,23,a6oACBm2yb8,GRAEME MCDOWELL,m,iron,down-the-line,0,[777 813 824 829 835 838 841 844 855 887],[2.21093750e-01 6.94444444e-04 3.55468750e-01 1.00000000e+00],4
24,24,a6oACBm2yb8,GRAEME MCDOWELL,m,iron,down-the-line,1,[1051 1122 1163 1182 1201 1220 1231 1242 1286 1410],[0.23515625 0.00416667 0.3625     0.99652778],4
25,25,pxO_eGmiDFk,PORNANONG PHATLUM,f,driver,face-on,0,[301 338 362 370 379 383 387 389 407 467],[5.62500000e-02 6.94444444e-04 7.78906250e-01 9.53472222e-01],3
26,26,pxO_eGmiDFk,PORNANONG PHATLUM,f,driver,face-on,1,[ 742  776  861  894  928  944  958  968 1035 1049],[0.06953125 0.00277778 0.76875    0.99791667],3
27,27,2Us2Zx_S6hI,ANGEL YIN,f,iron,face-on,0,[301 331 341 345 354 358 361 364 379 423],[1.71875000e-01 6.94444444e-04 6.53125000e-01 9.00694444e-01],3
28,28,2Us2Zx_S6hI,ANGEL YIN,f,iron,face-on,1,[483 555 589 603 636 657 669 680 732 763],[0.1671875  0.00138889 0.65859375 0.87083333],3
29,29,B1uIW4LN16Q,BRANFORD MARSALIS,m,driver,face-on,0,[245 285 303 305 317 322 325 327 373 396],[0.08203125 0.03333333 0.69453125 0.96736111],1
30,30,B1uIW4LN16Q,BRANFORD MARSALIS,m,driver,face-on,1,[ 807  875  915  925  973  991 1002 1012 1168 1179],[0.0984375  0.03194444 0.68125    0.96875   ],1
31,31,tpv8QUM0G0E,PAULA CREAMER,f,driver,other,0,[151 172 188 193 201 204 207 210 226 264],[0.203125   0.06666667 0.39609375 0.77777778],3
32,32,tpv8QUM0G0E,PAULA CREAMER,f,driver,other,1,[474 507 562 578 609 621 634 645 707 724],[0.2125     0.05694444 0.39453125 0.7875    ],3
33,33,HLB6FcRVqAs,MINJEE LEE,f,driver,down-the-line,0,[181 226 240 249 259 264 267 270 286 316],[3.12500000e-02 6.94444444e-04 6.10156250e-01 9.56250000e-01],1
34,34,HLB6FcRVqAs,MINJEE LEE,f,driver,other,1,[461 481 535 573 612 630 644 653 724 728],[3.90625000e-04 6.94444444e-04 6.39453125e-01 9.99305556e-01],1
35,35,agHnyx2NFfk,DANIEL SUMMERHAYS,m,driver,other,0,[241 277 289 294 298 302 305 307 322 348],[8.43750000e-02 6.94444444e-04 4.64843750e-01 9.42361111e-01],1
36,36,agHnyx2NFfk,DANIEL SUMMERHAYS,m,driver,other,1,[478 505 540 559 582 593 606 614 670 704],[4.21875000e-02 6.94444444e-04 5.09375000e-01 9.47916667e-01],1
37,37,4yauOQPgt1Y,HEE YOUNG PARK,f,driver,down-the-line,0,[481 513 526 533 542 547 551 553 572 610],[0.14140625 0.03194444 0.40703125 0.88611111],1
38,38,4yauOQPgt1Y,HEE YOUNG PARK,f,driver,down-the-line,1,[ 934 1002 1050 1078 1113 1132 1146 1157 1231 1282],[1.23437500e-01 6.94444444e-04 4.31250000e-01 9.20138889e-01],1
39,39,lI-y0pvpYDM,JASON DUFNER,m,fairway,down-the-line,0,[122 148 161 166 169 172 175 178 200 260],[1.16406250e-01 6.94444444e-04 4.57031250e-01 9.29861111e-01],3
40,40,lI-y0pvpYDM,JASON DUFNER,m,fairway,down-the-line,1,[320 357 389 407 422 433 447 455 528 565],[8.51562500e-02 6.94444444e-04 4.68750000e-01 9.14583333e-01],3
41,41,j6h-3Ez0714,COLIN MONTGOMERIE,m,driver,face-on,0,[277 298 311 315 325 328 332 334 358 399],[8.04687500e-02 6.94444444e-04 7.97656250e-01 9.79861111e-01],2
42,42,j6h-3Ez0714,COLIN MONTGOMERIE,m,fairway,face-on,0,[832 886 897 902 911 915 919 921 945 981],[0.090625   0.00277778 0.82734375 0.99791667],2
